system,model,cases,decomposition_recall,worst_case_recall,decomposition_precision,edge_precision,edge_recall,edge_f1,cognitive_agreement,tier_agreement
B0-official-programme,none,7,0.5714285714285714,0.0,,,0.0,,,
B1-decomposition-guided-v3,gemini-2.5-flash,7,0.9107142857142857,0.75,0.9047619047619048,0.8785714285714287,0.7874149659863946,0.8162337662337663,0.639985994397759,0.8686974789915967
B1-decomposition-guided-v3,gemini-3.1-pro-preview,7,0.9285714285714286,0.625,0.9285714285714286,0.85,0.4195578231292517,0.4828282828282828,0.6914811379097093,1.0
